N1HR0DHP0000,DHP01,N2UP0DHP0005,INDIA-DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,3474.33,3474.34,3377.69,3377.7,3430.49,3430.5,3263.44,3263.45,2997.88,2997.89,2994.68,2994.69,2900.84,2900.85,2890.22,2890.23,2890.85,2890.86,2900.46,2900.47,2789.41,2789.42,2789.96,2789.97,2789.41,2789.42,2789.62,2789.63,2999.84,2999.85,2999.64,2999.65,3100.71,3100.72,3200.46,3200.47,3250.08,3250.09,3263.78,3263.79,3000.6,3000.61,3265.06,3265.07,2750.72,2750.73,2610.47,2610.48,2903.09,2903.1,3489.71,3489.72,3500.35,3500.36,3489.66,3489.67,3200.4,3200.41,2509.74,2509.75,1910.41,1910.42,99.64,99.65,1544.9,1544.91,1700.18,1700.19,1572.23,1572.24,1324.83,1324.84,1500.52,1500.53,1515.26,1515.27,1516.92,1516.93,1347.13,1347.14,949.7,949.71,399.92,399.93,1000.97,1000.98,1324.48,1324.49,1324.64,1324.65,1324.07,1324.08,399.78,399.79,399.7,399.71,399.9,399.91,399.93,399.94,400,400.01,399.86,399.87,399.33,399.34,399.29,399.3,399.56,399.57,399.69,399.7,399.56,399.57,399.67,399.68,399.76,399.77,1250.95,1250.96,1250.81,1250.82,1250.8,1250.81,1582.42,1582.43,1591.6,1591.61,1396.46,1396.47,1396.94,1396.95,1315.76,1315.77,1515.32,1515.33,1315.58,1315.59,1999.14,1999.15,3000.76,3000.77,3289.02,3289.03,2994.56,2994.57,3200.72,3200.73,2999.08,2999.09,3500.99,3501,4233.38,4233.39,4200.8,4200.81,3630.07,3630.08,3080.05,3080.06,1819.32,1819.33,2000.43,2000.44,3585.79,3585.8,3892.39,3892.4,4081.21,4081.22,3974.69,3974.7,3263.98,3263.99,2949.6,2949.61,3197.16,3197.17,3326.66,3326.67,3839.71,3839.72,3892.91,3892.92,3600.73,3600.74,3510.4,3510.41,3377.81,3377.82,3284.64,3284.65,10000
0:00,0:15,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0:15,0:30,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0:30,0:45,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0:45,1:00,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1:00,1:15,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1:15,1:30,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1:30,1:45,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1:45,2:00,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2:00,2:15,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
