state,month,fppa_charge_percent
UTTAR PRADESH,202501,-2.33
UTTAR PRADESH,202502,10
UTTAR PRADESH,202503,-2.42
UTTAR PRADESH,202504,1.24
UTTAR PRADESH,202505,-2
UTTAR PRADESH,202506,4.27
UTTAR PRADESH,202507,1.97
UTTAR PRADESH,202508,0.24
UTTAR PRADESH,202509,2.34
UTTAR PRADESH,202510,-1.63
UTTAR PRADESH,202511,1.83
UTTAR PRADESH,202512,5.56
UTTAR PRADESH,202601,-2.33
UTTAR PRADESH,202602,10
UTTAR PRADESH,202603,-2.42
UTTAR PRADESH,202604,-2.14
UTTAR PRADESH,202605,-1.52
UTTAR PRADESH,202606,10
UTTAR PRADESH,202607,-4.43
