state,month,ctu_charges_rs_per_kwh
Uttar Pradesh,202501,0.49316
Uttar Pradesh,202502,0.50028
Uttar Pradesh,202503,0.4896
Uttar Pradesh,202504,0.47352
Uttar Pradesh,202505,0.47944
Uttar Pradesh,202506,0.43476
Uttar Pradesh,202507,0.51012
Uttar Pradesh,202508,0.5106
Uttar Pradesh,202509,0.55108
Uttar Pradesh,202510,0.47976
Uttar Pradesh,202511,0.53524
Uttar Pradesh,202512,0.46628
Uttar Pradesh,202601,0.46404
Uttar Pradesh,202602,0.45932
Uttar Pradesh,202603,0.4674
Uttar Pradesh,202604,0.45868
Uttar Pradesh,202605,0.44992
Uttar Pradesh,202606,0.46748
Uttar Pradesh,202607,0.49204
