start_date,end_date,ists_loss_percent
2024/12/30,2025/01/05,3.92
2025/01/06,2025/01/12,4.41
2025/01/13,2025/01/19,4.2
2025/01/20,2025/01/26,3.93
2025/01/27,2025/02/02,3.84
2025/02/03,2025/02/09,3.82
2025/02/10,2025/02/16,3.99
2025/02/17,2025/02/23,3.88
2025/02/24,2025/03/02,3.87
2025/03/03,2025/03/09,3.82
2025/03/10,2025/03/16,4
2025/03/17,2025/03/23,4.02
2025/03/24,2025/03/30,3.63
2025/03/31,2025/04/06,3.81
2025/04/28,2025/05/04,3.67
2025/05/05,2025/05/11,3.47
2025/05/12,2025/05/18,3.7
2025/05/19,2025/05/25,3.4
2025/05/26,2025/06/01,3.39
2025/06/02,2025/06/08,3.48
2025/06/09,2025/06/15,3.37
2025/06/16,2025/06/22,3.26
2025/06/23,2025/06/29,3.36
2025/06/30,2025/07/06,3.75
2025/07/07,2025/07/13,3.82
2025/07/14,2025/07/20,3.86
2025/07/21,2025/07/27,3.89
2025/07/28,2025/08/03,3.62
2025/08/04,2025/08/10,4.02
2025/08/11,2025/08/17,3.65
2025/08/18,2025/08/24,3.47
2025/08/25,2025/08/31,3.79
2025/09/01,2025/09/07,3.63
2025/09/08,2025/09/14,3.27
2025/09/15,2025/09/21,3.5
2025/09/22,2025/09/28,3.33
2025/09/29,2025/10/05,3.43
2025/10/06,2025/10/12,3.58
2025/10/13,2025/10/19,3.96
2025/10/20,2025/10/26,3.56
2025/10/27,2025/11/02,4.2
2025/11/03,2025/11/09,3.5
2025/11/10,2025/11/16,4.19
2025/11/17,2025/11/23,3.9
2025/11/24,2025/11/30,4.01
2025/12/01,2025/12/07,4.19
2025/12/08,2025/12/14,3.97
2025/12/15,2025/12/21,4.02
2025/12/22,2025/12/28,3.98
2025/12/29,2026/01/04,4.93
2026/01/05,2026/01/11,5.1
2026/01/12,2026/01/18,4.81
2026/01/19,2026/01/25,4.57
2026/01/26,2026/02/01,4.44
2026/02/02,2026/02/08,4.26
2026/02/09,2026/02/15,4.02
2026/02/16,2026/02/22,3.83
2026/02/23,2026/03/01,3.88
2026/03/02,2026/03/08,4.07
2026/03/09,2026/03/15,4.12
2026/03/16,2026/03/22,4.48
2026/03/23,2026/03/29,4.27
2026/03/30,2026/04/05,4.43
2026/04/06,2026/04/12,4.42
2026/04/13,2026/04/19,4.27
2026/04/20,2026/04/26,4.35
2026/04/27,2026/05/03,3.96
2026/05/04,2026/05/10,3.41
2025/04/07,2025/04/13,3.75
2025/04/14,2025/04/20,3.77
2025/04/21,2025/04/27,3.85
2026/05/11,2026/05/17,3.89
2026/05/18,2026/05/24,3.64
2026/05/25,2026/05/31,3.38
2026/06/01,2026/06/07,3.41
2026/06/08,2026/06/14,3.53
2026/06/15,2026/06/21,3.56
2026/06/22,2026/06/28,3.66
2026/06/29,2026/07/05,3.7
2026/07/06,2026/07/12,3.49
