state,consumer_category,sub-category,supply_voltage_category,supply_voltage,month,tod_start_time,tod_end_time,base_energy_rate,base_energy_unit,tod_charge_percent,energy_rate
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202604,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202605,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202606,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202607,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202608,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202609,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202610,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202611,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202612,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202701,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202702,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),—,202703,—,—,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202604,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202605,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202606,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202607,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202608,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202609,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202610,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202611,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202612,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202701,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202702,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),—,202703,—,—,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202604,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202604,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202605,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202605,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202606,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202606,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202607,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202607,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202608,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202608,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202609,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202609,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202610,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202610,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202611,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202611,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202612,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202612,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202701,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202701,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202702,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202702,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202703,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202703,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202604,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202604,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202605,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202605,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202606,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202606,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202607,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202607,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202608,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202608,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202609,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202609,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202610,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202610,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202611,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202611,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202612,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202612,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202701,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202701,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202702,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202702,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202703,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202703,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202604,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202605,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202606,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202607,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202608,—,—,8.32,kVAh,0,8.32
