state,discom,category,sub_category,supply_voltage_category,voltage_level,from_date,to_date,demand_fixed_charge_kva_per_month_Rs,cross_subsidy,distribution_wheeling_charges,stu_charges,stu_loss_percent,wheeling_loss_percent,additional_charge
UTTAR_PRADESH,,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),0.433,01-04-2024,31-03-2025,0,0.65,0.88,0.2631,3.22,8,0
UTTAR_PRADESH,,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),0.433,01-04-2025,31-03-2026,0,0.65,1.012,0.2326,3.18,8,0
UTTAR_PRADESH,,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),0.433,01-04-2026,31-03-2027,0,0.65,0.9985,0.3075,3.18,8,0
UTTAR_PRADESH,,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),"11,33",01-04-2024,31-03-2025,0,0.82,0.88,0.2631,3.22,3,0
UTTAR_PRADESH,,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),"11,33",01-04-2025,31-03-2026,0,0.82,1.012,0.2326,3.18,3,0
UTTAR_PRADESH,,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),"11,33",01-04-2026,31-03-2027,0,0.82,0.9985,0.3075,3.18,3,0
UTTAR_PRADESH,,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),0.433,01-04-2024,31-03-2025,0,0.65,0.88,0.2631,3.22,8,0
UTTAR_PRADESH,,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),0.433,01-04-2025,31-03-2026,0,0.65,1.012,0.2326,3.18,8,0
UTTAR_PRADESH,,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),0.433,01-04-2026,31-03-2027,0,0.65,0.9985,0.3075,3.18,8,0
UTTAR_PRADESH,,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),"11, 33",01-04-2024,31-03-2025,0,0.82,0.88,0.2631,3.22,3,0
UTTAR_PRADESH,,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),"11, 33",01-04-2025,31-03-2026,0,0.82,1.012,0.2326,3.18,3,0
UTTAR_PRADESH,,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),"11, 33",01-04-2026,31-03-2027,0,0.82,0.9985,0.3075,3.18,3,0
UTTAR_PRADESH,,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,01-04-2024,31-03-2025,430,1.58,0.88,0.2631,3.22,8,0
