Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),timestamp,delivery_date,scraped_at_UTC,market
01-04-2022,1,00:00 - 00:15,17593.1,7417.1,7417.1,7417.1,20000.0,2022-04-01 00:00:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,1,00:15 - 00:30,17705.4,7706.1,7706.08,7706.08,20000.0,2022-04-01 00:15:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,1,00:30 - 00:45,17632.8,8028.6,8028.6,8028.6,20000.0,2022-04-01 00:30:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,1,00:45 - 01:00,17406.6,8026.2,8026.2,8026.2,20000.0,2022-04-01 00:45:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,2,01:00 - 01:15,17070.4,7873.3,7873.3,7873.3,20000.0,2022-04-01 01:00:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,2,01:15 - 01:30,16503.5,7592.6,7592.6,7592.6,20000.0,2022-04-01 01:15:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,2,01:30 - 01:45,16264.7,7762.4,7752.4,7752.4,19313.05,2022-04-01 01:30:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,2,01:45 - 02:00,16033.3,7666.6,7656.6,7656.6,19523.17,2022-04-01 01:45:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,3,02:00 - 02:15,15605.0,7829.2,7819.2,7819.2,18000.93,2022-04-01 02:00:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,3,02:15 - 02:30,15243.3,7775.3,7715.3,7715.3,18000.73,2022-04-01 02:15:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,3,02:30 - 02:45,15090.2,7621.7,7461.7,7461.7,15672.75,2022-04-01 02:30:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,3,02:45 - 03:00,14466.0,7692.7,7532.7,7532.7,15625.7,2022-04-01 02:45:00,2022-04-01,2025-08-24T05:58:47Z,DAM
01-04-2022,4,03:00 - 03:15,14521.3,7882.2,7589.2,7589.2,13902.57,2022-04-01 03:00:00,2022-04-01,2025-08-24T05:58:47Z,DAM
