ID,State,Discom,Month,FPPA Charge %
1,Uttar Pradesh,MVVNL,202501,-2.33
2,Uttar Pradesh,PVVNL,202501,-2.33
3,Uttar Pradesh,DVVNL,202501,-2.33
4,Uttar Pradesh,PuVVNL,202501,-2.33
5,Uttar Pradesh,KESCO,202501,-2.33
6,Uttar Pradesh,MVVNL,202502,10
7,Uttar Pradesh,PVVNL,202502,10
8,Uttar Pradesh,DVVNL,202502,10
9,Uttar Pradesh,PuVVNL,202502,10
10,Uttar Pradesh,KESCO,202502,10
11,Uttar Pradesh,MVVNL,202503,-2.42
12,Uttar Pradesh,PVVNL,202503,-2.42
13,Uttar Pradesh,DVVNL,202503,-2.42
14,Uttar Pradesh,PuVVNL,202503,-2.42
15,Uttar Pradesh,KESCO,202503,-2.42
16,Uttar Pradesh,MVVNL,202504,1.24
17,Uttar Pradesh,PVVNL,202504,1.24
18,Uttar Pradesh,DVVNL,202504,1.24
19,Uttar Pradesh,PuVVNL,202504,1.24
20,Uttar Pradesh,KESCO,202504,1.24
21,Uttar Pradesh,MVVNL,202505,-2
22,Uttar Pradesh,PVVNL,202505,-2
23,Uttar Pradesh,DVVNL,202505,-2
24,Uttar Pradesh,PuVVNL,202505,-2
25,Uttar Pradesh,KESCO,202505,-2
26,Uttar Pradesh,MVVNL,202506,4.27
27,Uttar Pradesh,PVVNL,202506,4.27
28,Uttar Pradesh,DVVNL,202506,4.27
29,Uttar Pradesh,PuVVNL,202506,4.27
30,Uttar Pradesh,KESCO,202506,4.27
31,Uttar Pradesh,MVVNL,202507,1.97
32,Uttar Pradesh,PVVNL,202507,1.97
33,Uttar Pradesh,DVVNL,202507,1.97
34,Uttar Pradesh,PuVVNL,202507,1.97
35,Uttar Pradesh,KESCO,202507,1.97
36,Uttar Pradesh,MVVNL,202508,0.24
37,Uttar Pradesh,PVVNL,202508,0.24
38,Uttar Pradesh,DVVNL,202508,0.24
39,Uttar Pradesh,PuVVNL,202508,0.24
40,Uttar Pradesh,KESCO,202508,0.24
41,Uttar Pradesh,MVVNL,202509,2.34
42,Uttar Pradesh,PVVNL,202509,2.34
43,Uttar Pradesh,DVVNL,202509,2.34
44,Uttar Pradesh,PuVVNL,202509,2.34
45,Uttar Pradesh,KESCO,202509,2.34
46,Uttar Pradesh,MVVNL,202510,-1.63
47,Uttar Pradesh,PVVNL,202510,-1.63
48,Uttar Pradesh,DVVNL,202510,-1.63
49,Uttar Pradesh,PuVVNL,202510,-1.63
50,Uttar Pradesh,KESCO,202510,-1.63
51,Uttar Pradesh,MVVNL,202511,1.83
52,Uttar Pradesh,PVVNL,202511,1.83
53,Uttar Pradesh,DVVNL,202511,1.83
54,Uttar Pradesh,PuVVNL,202511,1.83
55,Uttar Pradesh,KESCO,202511,1.83
56,Uttar Pradesh,MVVNL,202512,5.56
57,Uttar Pradesh,PVVNL,202512,5.56
58,Uttar Pradesh,DVVNL,202512,5.56
59,Uttar Pradesh,PuVVNL,202512,5.56
60,Uttar Pradesh,KESCO,202512,5.56
61,Uttar Pradesh,MVVNL,202601,-2.33
62,Uttar Pradesh,PVVNL,202601,-2.33
63,Uttar Pradesh,DVVNL,202601,-2.33
64,Uttar Pradesh,PuVVNL,202601,-2.33
65,Uttar Pradesh,KESCO,202601,-2.33
66,Uttar Pradesh,MVVNL,202602,10
67,Uttar Pradesh,PVVNL,202602,10
68,Uttar Pradesh,DVVNL,202602,10
69,Uttar Pradesh,PuVVNL,202602,10
70,Uttar Pradesh,KESCO,202602,10
71,Uttar Pradesh,MVVNL,202603,-2.42
72,Uttar Pradesh,PVVNL,202603,-2.42
73,Uttar Pradesh,DVVNL,202603,-2.42
74,Uttar Pradesh,PuVVNL,202603,-2.42
75,Uttar Pradesh,KESCO,202603,-2.42
76,Uttar Pradesh,MVVNL,202604,-2.14
77,Uttar Pradesh,PVVNL,202604,-2.14
78,Uttar Pradesh,DVVNL,202604,-2.14
79,Uttar Pradesh,PuVVNL,202604,-2.14
80,Uttar Pradesh,KESCO,202604,-2.14
81,Uttar Pradesh,MVVNL,202605,-1.52
82,Uttar Pradesh,PVVNL,202605,-1.52
83,Uttar Pradesh,DVVNL,202605,-1.52
84,Uttar Pradesh,PuVVNL,202605,-1.52
85,Uttar Pradesh,KESCO,202605,-1.52
86,Uttar Pradesh,MVVNL,202606,10
87,Uttar Pradesh,PVVNL,202606,10
88,Uttar Pradesh,DVVNL,202606,10
89,Uttar Pradesh,PuVVNL,202606,10
90,Uttar Pradesh,KESCO,202606,10
91,Uttar Pradesh,MVVNL,202607,-4.43
92,Uttar Pradesh,PVVNL,202607,-4.43
93,Uttar Pradesh,DVVNL,202607,-4.43
94,Uttar Pradesh,PuVVNL,202607,-4.43
95,Uttar Pradesh,KESCO,202607,-4.43
