State,Consumer Category,Sub Category,Supply Voltage Category,Supply Voltage,Month,TOD Start Time,TOD End Time,Base Energy Rate (₹),Base Energy Unit,TOD Charge %,Energy Rate (₹)
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Apr-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,May-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Jun-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Jul-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Aug-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Sep-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Oct-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Nov-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Dec-26,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Jan-27,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Feb-27,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),Low Tension (LT),,Mar-27,,,6.2,kWh,0,6.2
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Apr-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,May-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Jun-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Jul-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Aug-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Sep-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Oct-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Nov-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Dec-26,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Jan-27,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Feb-27,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,Multistoried Buildings (Common Usage),High Tension (HT),,Mar-27,,,5.9,kWh,0,5.9
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Apr-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Apr-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,May-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,May-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Jun-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Jun-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Jul-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Jul-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Aug-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Aug-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Sep-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Sep-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Oct-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Oct-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Nov-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Nov-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Dec-26,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Dec-26,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Jan-27,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Jan-27,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Feb-27,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Feb-27,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Mar-27,9:00,16:00,7.7,kWh,-20,6.16
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),,Mar-27,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Apr-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Apr-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,May-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,May-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Jun-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Jun-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Jul-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Jul-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Aug-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Aug-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Sep-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Sep-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Oct-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Oct-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Nov-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Nov-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Dec-26,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Dec-26,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Jan-27,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Jan-27,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Feb-27,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Feb-27,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Mar-27,9:00,16:00,7.3,kWh,-20,5.84
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),,Mar-27,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Apr-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,May-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Jun-26,,,8.32,kVAh,0,8.32
